Date,site_no,flow_cfs,SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
1990-10-01,10133600,6.0,0.0,41459.12,0.0,368.81,0.0,21.31,3.93,662.63,12.62,0.0,259.7412777777778,1.4178666666666666,0.227560416730245,76356.20238888891,198.1939138888889,0.0036228605718315,13.39855143229169,0.0,0.9710694444444444,2.394652777777777
1990-10-02,10133600,6.2,0.0,41294.41,0.0,331.94,0.0,16.58,2.08,634.85,9.329999999999998,0.0020008333333333,264.7380277777778,15.053244444444443,0.2478863888888889,75721.69766666667,198.256675,0.0040381583496093,12.872393771701413,7.652777777777778e-05,5.00313888888889,-0.2439722222222221
1990-10-03,10133600,6.2,0.0,41130.02,0.0,332.47,0.0,13.0,-1.45,508.37,5.775,0.0013408333333333,237.6340138888889,0.0,0.1829965277777777,75875.26344444444,130.6663861111111,0.0021085941666666,4.354183810763913,0.0001648611111111,4.744194444444443,-0.5716388888888887
1990-10-04,10133600,6.2,0.0,40965.98,0.0,362.52,0.0,19.27,1.74,586.11,10.505,0.0,253.2504166666667,0.0,0.2061974969482422,76564.30141666668,196.51476666666667,0.0035498544444444,8.23942643229169,0.0,2.2986805555555554,3.362861111111112
1990-10-05,10133600,6.1,0.0,40802.31,0.0,318.18,0.0,20.46,5.95,828.02,13.205,0.0,253.0455277777778,0.0,0.258452638698154,76267.75769444446,193.81979444444443,0.0034168913888888,12.788906032986135,0.0,3.2292083333333337,4.819888888888888
1990-10-06,10133600,6.1,0.0,40639.04,3.4,193.01,0.0,16.18,5.51,903.2,10.845,0.1665869444444444,281.4660277777777,28.28124444444444,0.2047827777777777,75862.79102777778,140.7461111111111,0.0037096644444444,10.572031032986136,0.0365572222222222,4.405513888888889,2.093027777777778
1990-10-07,10133600,6.2,0.0,40476.22,6.88,178.16,0.0,8.0,-1.27,556.69,3.365,0.0,279.96275,0.4764444444444444,0.1188183333333333,75934.29491666668,80.9932888888889,0.0033888041666666,2.935723849826413,0.1861990277777777,0.4038055555555555,-1.7658333333333334
1990-10-08,10133600,6.2,0.0,40313.86,0.0,320.46,0.0,8.1,-5.84,394.98,1.13,0.0,213.65956944444443,0.6418666666666667,0.1454638888888889,76343.70899999999,190.7867388888889,0.0022517333333333,-0.698894639756918,0.0030383333333333,1.6742777777777778,-2.628416666666667
1990-10-09,10133600,6.3,0.0,40152.0,0.0,356.67,0.0,12.02,-5.35,382.48,3.335,0.0,199.67165277777775,0.0,0.149150135837131,76704.70975000001,188.02467777777775,0.0019099613888888,0.1935882161458536,0.0,1.0709444444444445,0.2968611111111111
1990-10-10,10133600,6.3,0.0,39990.68,0.0,362.79,0.0,16.05,-2.75,446.18,6.65,0.0,216.571125,0.0,0.1772779166666666,76274.46830555555,188.42450833333336,0.0022824174999999,4.85522710503475,0.0,2.0760277777777776,3.188333333333333
1990-10-11,10133600,6.4,0.0,39829.92,0.0,309.75,0.0,11.98,-1.95,518.56,5.015000000000001,0.0,237.40156944444445,0.0,0.1859504156494141,75963.47977777779,188.16562777777776,0.0024683569444444,6.253473849826412,0.0019941666666666,3.207944444444444,-1.0494305555555554
1990-10-12,10133600,6.2,0.0,39669.76,0.0,352.04,0.0,13.23,-4.61,404.5,4.3100000000000005,0.0,204.24722222222223,0.0,0.169126945461697,76162.61480555555,173.61695555555556,0.0015684313868543,2.3942826605903043,0.0,1.5062361111111109,2.471152777777778
