Date,site_no,flow_cfs,SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2018-03-03,10133800,21.2,29.972,40064.2,0.0,338.45,2.0,6.56,-2.0,527.57,2.28,0.0,229.98718093093095,1.6637417417417415,0.060839064064064,76028.8167942943,177.82747960460458,0.0030552964339339,-1.506168292315728,0.0016865615615615,0.6598373373373374,7.296731223105431
2018-03-04,10133800,22.8,30.47999999999999,40226.13,12.98,275.96,1.9690000000000003,4.19,-5.28,412.34,-0.5449999999999999,0.1266739239239239,254.14235735735735,25.71597297297297,0.0516619494494494,76045.39235985988,144.46681869369368,0.0028237823073073,-4.970834208231647,0.9391031406406406,4.012019519519519,-0.2593932448684035
2018-03-05,10133800,21.9,31.75,40388.57,0.0,305.21,1.9690000000000003,-1.12,-8.34,325.85,-4.73,0.0792643018018018,228.7520470470471,16.52117117117117,0.0453313438438438,77147.618501001,167.59979692192198,0.0020201530040202,-9.304982482482457,0.3868199574574575,3.8211248748748754,1.4379692192192193
2018-03-06,10133800,21.1,31.75,40551.49,0.0,480.48,1.9690000000000003,2.46,-13.85,209.74,-5.695,0.0,163.0653978978979,0.1966326326326326,0.031848561061061,77259.48961461462,231.6002820320321,0.0017121736016503,-10.304615489512926,0.0194696196196196,1.1907995495495494,1.8891341341341343
2018-03-07,10133800,20.8,31.75,40714.87,0.0,490.16,1.9690000000000003,6.43,-11.41,255.41,-2.49,0.0,167.5729016516517,0.0,0.0312061686686686,77131.17736736739,229.1923816316317,0.0016314909774612,-7.760637385432283,0.0,-1.5676276276276282,1.2077189689689691
2018-03-08,10133800,21.5,31.75,40878.67,0.0,483.68,1.9690000000000003,9.91,-7.34,341.2,1.285,0.0,191.5722072072073,0.0,0.0320683183183183,76869.3271821822,230.2548654904905,0.0021304182307307,-4.250803303303282,0.0,0.3130968468468468,3.2015990990991
2018-03-09,10133800,22.7,31.75,41042.87,0.0,401.16,1.783,9.76,-1.57,544.47,4.095,0.0,206.35997997998004,0.0,0.0210507132132132,76651.49325825826,219.5358016766767,0.0027485899774774,-1.9280235215684205,0.0,1.858528528528529,2.735937187187188
2018-03-10,10133800,26.3,31.75,41207.42,0.0,387.1,1.586,9.21,-1.31,554.74,3.95,0.0,212.3050700700701,0.0,0.022139552052052,76610.79818068071,235.7417835335336,0.0029899695945945,-1.0026360100334497,0.0,1.02460960960961,-0.4995457957957958
2018-03-11,10133800,32.2,31.75,41372.31,0.0,450.74,1.436,11.37,-2.42,494.54,4.475,0.0,214.35548423423427,0.0,0.0736438812542248,76959.42275025026,212.3529206706707,0.0028068077827827,-0.4296844305242518,0.0,-2.2951263763763765,0.3957607607607607
2018-03-12,10133800,40.4,31.75,41537.49,0.0,439.05,1.2220000000000002,12.19,-0.91,550.81,5.64,0.0,266.8909496996997,0.9679519519519522,0.1025840589954807,77266.84445945946,192.1502801551552,0.0031856837087087,2.9404085384212557,0.0,0.889495745745746,0.8408158158158158
2018-03-13,10133800,40.7,31.75,41702.95,0.0,476.22,1.0470000000000002,13.65,-1.84,480.62,5.905,0.0,240.5290427927929,1.3883073073073076,0.1302684309309309,77036.27003003005,204.4121973223224,0.0031927142642642,3.425794422352064,0.0,-1.6323398398398394,2.0884783767532182
2018-03-14,10133800,54.4,31.75,41868.66,8.68,302.0,0.7490000000000001,12.3,1.1,661.49,6.7,0.1830149149149149,254.2008045545546,25.48195645645647,0.1441282532532533,76533.94890140141,184.83218668668675,0.0039613589339339,5.343156784714424,0.0974258008008008,-0.4549574574574577,5.603408408408409
2018-03-15,10133800,78.1,34.036,42034.58,11.9,268.56,0.592,6.84,-2.26,517.27,2.29,0.367110885885886,261.36404154154155,29.22737587587589,0.0860238113113113,75975.17532282283,191.93672322322328,0.0039174269394394,0.8466457717483357,0.9863824449449452,1.621657907907908,2.3263788788788795
2018-03-16,10133800,45.3,34.54399999999999,42200.7,5.89,335.5,1.181,5.93,-6.54,374.5,-0.3050000000000001,0.1275226851851852,223.1237387387388,9.81833833833834,0.0795739614614614,76217.15909909911,212.8490990990991,0.0029418352977977,-2.973376750774188,0.1549909409409409,0.3811836836836836,3.313703703703704
2018-03-17,10133800,43.8,35.052,42366.97,7.86,246.65,1.099,3.88,-4.05,452.72,-0.0849999999999999,0.2009058433433433,249.6425425425425,8.002918918918919,0.0948604354354354,75974.1564014014,182.32807682682687,0.0028124692442442,-1.707140890890866,0.7548173923923924,0.320964714714715,4.654538288288289
2018-03-18,10133800,38.2,36.576,42533.38,0.0,300.06,1.099,0.41,-6.44,377.53,-3.015,0.0771489614614614,238.0792367367368,11.96587787787788,0.0804947197197197,76271.35348848853,195.36089639639644,0.0027128857232232,-4.171258758758733,0.1827587587587588,2.682890390390392,-2.470102602602603
2018-03-19,10133800,34.7,36.82999999999999,42699.89,0.0,466.72,1.099,4.08,-8.45,323.1,-2.185,0.0050472597597597,221.73238363363367,1.0363243243243248,0.0578677677677677,76867.5277627628,235.4840002502503,0.0024889838849011,-5.201306306306282,0.0919619119119119,2.540556806806808,0.1975663163163163
