Date,site_no,flow_cfs,SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2012-10-01,10149400,71.6,0.0,41328.9,0.0,377.34,0.0,22.67,5.42,835.93,14.045000000000002,0.0,254.25010689762803,0.0,0.2211280898876405,77546.13218164795,205.26150273096133,0.0039303906210986,12.907255261977244,0.0,1.4098462858926346,-1.388540106117354
2012-10-02,10149400,66.3,0.0,41167.49,0.0,374.24,0.0,22.57,5.3,833.6,13.935,0.0,253.82665574282157,0.0,0.2323935393258427,77225.41587078653,203.22474656679157,0.0037547619772159,13.453086254486603,0.0,2.464529494382022,-0.3202036516853934
2012-10-03,10149400,66.4,0.0,41006.43,0.0,359.28,0.0,20.87,4.65,817.56,12.760000000000002,0.0,247.86027777777787,0.0,0.2532833879525593,76923.41630227839,201.96049391385768,0.0032089826076779,12.793189049576725,0.0,4.593675873907617,-0.2736165730337079
2012-10-04,10149400,66.5,0.0,40845.74,0.0,387.27,0.0,18.83,0.53,590.09,9.68,0.0,216.8041643258427,0.0,0.2268396145443196,76998.00660268417,203.27560205992515,0.0017790098392634,8.838536607073214,0.0,2.741740012484395,-0.0917407927590511
2012-10-05,10149400,66.6,0.0,40685.45,0.0,319.24,0.0,15.02,1.52,681.53,8.27,0.0,216.38301498127345,0.0,0.224029377328903,76924.25403714109,203.01195060861428,0.0020927672362671,7.315928795060889,0.0,4.656522315855181,-1.2563483146067416
2012-10-06,10149400,67.1,0.0,40525.6,0.0,357.59,0.0,13.84,-2.05,522.56,5.895,0.0,198.83507256554307,0.0,0.1839441557428215,77038.46155040576,201.8604691011236,0.0016126287921348,3.8675306318761953,0.0,1.942299469413234,-1.9891104868913865
2012-10-07,10149400,67.1,0.0,40366.2,0.0,370.35,0.0,13.63,-3.39,469.75,5.12,0.0,195.7657537453184,0.0,0.1701623045498661,76985.95359472536,198.9849379681648,0.0015214122893258,2.5907733192396485,0.0,1.56186797752809,-1.4325312109862678
2012-10-08,10149400,67.2,0.0,40207.3,0.0,393.47,0.0,18.17,-1.69,505.69,8.24,0.0,203.8886914794008,0.0,0.1875499297752809,76794.22682662298,195.87679314918856,0.0016007276295255,4.907387975723728,0.0,1.60270677278402,0.826386548064919
2012-10-09,10149400,61.2,0.0,40048.93,0.0,354.9,0.0,19.19,2.4,699.74,10.795,0.0,229.23021457553065,0.0,0.1982307662297129,76730.60282147318,189.54888795255928,0.0022949004057428,8.882173400193142,0.0,2.4167368913857685,0.5915262172284645
2012-10-10,10149400,50.4,0.0,39891.12,0.0,340.58,0.0,20.1,4.04,792.68,12.07,0.0,245.22470271535585,0.0298195224719101,0.1958997581148564,76856.16288389514,184.6446014357054,0.0029374078261548,10.108214932750103,0.0,0.7220708489388266,0.9115254369538078
2012-10-11,10149400,48.6,0.0,39733.9,0.0,331.98,0.0,20.27,4.45,822.92,12.36,0.0,273.4083395755306,5.287490246566793,0.1884345193508115,76867.6150187266,169.9220789637953,0.0041902963093008,12.047415151227009,0.0,-0.1967704431960049,1.5914364856429466
2012-10-12,10149400,49.7,0.0,39577.3,8.16,177.51,0.0,12.82,2.82,747.93,7.82,0.0175848002496878,282.8504096441948,9.498489466292138,0.1101829353932584,76553.9287172285,100.42049367977528,0.0049477839107365,8.468376449604039,0.0524871098626716,-1.3658481585518103,1.899174469413233
2012-10-13,10149400,50.7,0.0,39421.37,4.62,143.57,0.0,9.8,2.07,709.09,5.9350000000000005,0.0226466760299625,295.8436688514358,21.935902699750315,0.1181125702247191,76838.17598002499,138.85884495942577,0.00567183164794,5.524189898125416,0.3104378199126092,1.7431757178526843,0.3535502496878902
2012-10-14,10149400,49.5,0.0,39266.14,0.0,318.81,0.0,15.15,0.73,643.77,7.94,0.0,267.23415496254694,0.0012063046192259,0.1464003667290886,77410.10464965669,177.53453854556807,0.0049145454666042,7.612698525037087,0.1294664794007491,1.892554619225968,-1.132666198501873
2012-10-15,10149400,49.1,0.0,39111.64,0.0,344.03,0.0,17.93,1.36,639.44,9.645,0.0,242.35964185393257,0.0,0.1525634597378277,77192.24130930088,165.95057833957557,0.0042888160970661,8.642915307281937,0.0,1.3160533707865172,1.1424094881398252
2012-10-16,10149400,49.0,0.0,38957.91,1.92,332.02,0.0,18.26,2.39,696.17,10.325,0.0,263.89452169163553,8.501475811485644,0.1717069288389513,76739.7478331773,140.3091684680039,0.0043212546816479,9.56557363598239,0.0,3.887003745318352,0.6985463483146067
2012-10-17,10149400,48.7,0.0,38804.99,0.0,266.72,0.0,10.95,-0.44,591.61,5.255,0.0856741573033708,230.58530196629215,28.975792759051192,0.2097497815230961,76775.29193352061,176.31998665730342,0.003603943071161,6.246224586210617,0.0465109238451935,5.885369850187267,-3.364293071161049
