Date,site_no,flow_cfs,814_SWE_cm,684_SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2007-07-06,10133980,8.3,0.0,0.0,53344.21,0.0,482.56,0.0,32.21,13.37,770.89,22.79,0.0,302.4152332242227,224.4321047463176,0.3957837902345882,78416.76131955814,329.68452577741414,0.006270934942716859,22.15658316071675,0.0,-2.6531969448990727,1.4844435351882164
2007-07-07,10133980,8.34,0.0,0.0,53289.69,0.0,474.02,0.0,31.59,13.07,775.07,22.33,0.0,298.83636797599576,106.54063066012006,0.37280420076377535,78249.15562397709,308.00088891162034,0.005429855953355157,21.97597785978845,0.0,1.6155025913802512,3.137324740861976
2007-07-08,10133980,8.52,0.0,0.0,53231.81,0.0,505.05,0.0,30.93,10.65,567.18,20.79,0.0,313.73206696672133,148.16925695581017,0.3891775572831425,78083.37769298966,332.2303571331152,0.006165378671486082,21.14100146404463,0.0,1.5093985270049102,-0.7517955537370434
2007-07-09,10133980,7.69,0.0,0.0,53170.63,0.0,503.75,0.0,30.64,10.56,517.49,20.6,0.0,279.12203832515013,51.228499727223145,0.3785911213036645,78110.9926097927,337.85122538188773,0.004552537997817786,20.368652173264483,0.0,1.7099106655755596,0.3757255864702674
2007-07-10,10133980,9.55,0.0,0.0,53106.18,0.0,516.91,0.0,31.84,10.87,477.84,21.355,0.0,276.36616543917086,38.14773595199128,0.3807826892559345,78210.98291121115,339.55333967539565,0.004257766775777414,20.96794007113512,0.0,-0.6781478450627387,-0.13096563011456633
2007-07-11,10133980,8.45,0.0,0.0,53038.51,0.0,494.69,0.0,30.5,11.02,502.75,20.759999999999998,0.0,304.63460515548286,24.860984178941635,0.25678454037097653,78236.35136524824,202.47413372885984,0.004704119687670487,21.15459219858159,0.0,-0.552469994544463,0.9653702945990182
2007-07-12,10133980,9.25,0.0,0.0,52967.67,0.0,358.01,0.0,27.53,14.6,942.64,21.065,0.19844546508456087,317.38322490452816,201.02749590834702,0.3426111292962358,78448.50909028917,307.5268229678124,0.00683661430560173,19.755016212109616,0.014554937261320245,1.7167164484451727,1.330331423895254
2007-07-13,10133980,9.83,0.0,0.0,52893.7,0.0,462.43,0.0,30.28,12.63,614.44,21.455000000000002,0.025857699127114026,306.33170212765964,175.79748608837969,0.36959206219312607,78507.10491202946,326.7775641443864,0.006971696099290781,19.67500294620331,0.0016877523186033829,-1.4261442989634476,1.0595499181669397
2007-07-14,10133980,7.96,0.0,0.0,52816.66,0.0,492.81,0.0,32.42,12.89,562.43,22.655,0.019309765411893075,294.2955593017979,76.82412220403711,0.38982436579378077,78461.97797872341,332.53750450081844,0.005512890894526989,21.880507737912602,8.895253682487726e-05,-0.9343364702673216,2.0652761865793785
2007-07-15,10133980,7.3,0.0,0.0,52736.59,0.0,479.99,0.0,33.31,14.44,640.09,23.875,0.03095407119476269,303.03777004909983,83.77082378614294,0.3658964129841791,78370.81703491545,290.5023072831425,0.004863366266957985,22.609980287609137,0.0046337424986361165,0.28941080196399355,3.0974106655755596
2007-07-16,10133980,7.59,0.0,0.0,52653.54,0.0,449.49,0.0,30.18,13.2,664.77,21.689999999999998,0.047374331696672135,335.07878787975665,41.504580469176226,0.34845987484053204,78267.44312124935,265.5590079787235,0.006085764132478989,22.23234053474924,0.00407744135297327,0.771036552100382,2.391976268412439
2007-07-17,10133980,8.61,0.0,0.0,52567.58,0.0,408.51,0.0,28.36,13.35,763.69,20.855,0.0862624318057829,321.96415234588113,180.11489361702132,0.3414950287051496,78225.57912779598,299.2464947490454,0.007549453743862521,20.27910854707961,0.014011047463175124,-0.3327986906710312,0.3805107746863067
2007-07-18,10133980,7.52,0.0,0.0,52478.75,0.0,484.89,0.0,30.64,11.97,516.33,21.305,0.0,307.8255776050192,59.14499509001638,0.40823023904903444,78115.01092334972,319.4904053464267,0.0068787609682673155,20.43984447189975,0.02719566284779052,-0.19718153300600105,4.414240316421168
2007-07-19,10133980,7.37,0.0,0.0,52387.11,0.0,480.91,0.0,31.63,13.21,563.07,22.42,0.0,296.4729725859248,21.746134206219317,0.42404611873179276,78010.42618794332,331.1045167075833,0.005600012759138027,21.568207392466267,0.014394053464266233,0.24309056192034925,4.563475177304967
2007-07-20,10133980,7.28,0.0,0.0,52292.71,0.0,481.56,0.0,31.42,12.99,554.63,22.205000000000002,0.0015891093835242772,276.72525709219866,0.0,0.40980385979268974,77981.87556260229,331.6111790780143,0.0037823528027823242,20.771298372608967,4.292144026186581e-05,0.7078068739770869,4.230253000545555
2007-07-21,10133980,7.56,0.0,0.0,52195.61,0.0,477.6,0.0,31.5,13.33,568.04,22.415,0.0,286.5699468085108,0.0,0.41227611156573934,78176.39378887073,329.28118466994005,0.004451524016458249,21.126906819528298,0.0,1.4234390343698857,4.4523424713584285
2007-07-22,10133980,5.75,0.0,0.0,52095.88,0.0,505.51,0.0,32.08,12.15,523.02,22.115,0.0015456628477905077,308.5670028641572,5.274247681396619,0.34760113884342614,78442.54781642118,278.66460842880525,0.005708366489361704,21.76735239148598,0.000468821603927987,0.37144367157665026,2.2725831969449
2007-07-23,10133980,7.01,0.0,0.0,51993.56,0.0,450.09,0.0,30.71,14.17,601.94,22.44,0.09019300327332247,312.1379173486089,10.912536824877254,0.349947603331221,78338.90410665577,300.54649195308247,0.006797747854519359,21.192124622800765,0.010351691216584837,1.3069496726677583,0.9353389252591383
2007-07-24,10133980,7.51,0.0,0.0,51888.71,4.32,301.34,0.0,29.78,15.03,914.93,22.405,0.22538456082924171,330.307933715221,77.23510310965631,0.34250073649754503,78130.88226063832,276.62171808510647,0.00859583230205563,20.41535991096395,0.09274268957992365,0.3464423076923076,3.496953764320787
2007-07-25,10133980,10.1,0.0,0.0,51781.4,9.22,254.75,0.0,27.31,15.2,1159.88,21.255,0.5543607064920897,341.2372722313149,210.93155701036557,0.27554924304418993,78145.49396072015,241.9848514048009,0.009973360459447883,18.744537906927704,0.19630003409710864,1.1468732951445715,2.5803416530278236
2007-07-26,10133980,20.2,0.0,0.0,51671.68,6.23,318.89,0.0,27.77,12.09,890.74,19.93,0.592111149754501,338.8630264593563,143.70846044735407,0.2888653096017459,78227.50633115113,278.473353927987,0.010511454512912152,18.24205590114399,0.2738211947626842,0.7032439989088927,1.5123083742498642
2007-07-27,10133980,20.6,0.0,0.0,51559.6,0.0,425.29,0.0,27.76,12.53,765.9,20.145,0.4208576513911621,339.7361081560284,171.18467212220406,0.3067612520458266,78304.15436306605,284.3727156983088,0.009974285474631753,19.4768781779571,0.46052045826513915,0.6940295962902348,0.19088038734315332
2007-07-28,10133980,14.1,0.0,0.0,51445.24,0.0,479.32,0.0,30.05,12.06,639.4,21.055,0.0004641843971631206,298.36051009274416,25.649318057828697,0.33682572967812335,78250.64329719041,315.69613304691774,0.007356696470176754,19.493663920783916,0.0018905619203491545,-1.3245983360611022,-1.3357460447354068
2007-07-29,10133980,11.8,0.0,0.0,51328.65,0.0,491.18,0.0,31.27,12.51,633.34,21.89,0.015126820785597385,292.9229746317513,14.573996726677583,0.3630395390070923,78125.35616339336,317.7285643071468,0.005602429369704295,20.39519729972213,0.0015319148936170216,-2.304655619203492,-0.4547108565193674
2007-07-30,10133980,11.0,0.0,0.0,51209.88,0.0,509.21,0.0,32.9,12.84,610.34,22.869999999999997,0.020799236224768144,295.3391093835243,24.994190943807975,0.3664119953627933,77990.62006819424,318.790641298418,0.005938226321422788,21.48336397544585,0.0018721767594108024,-2.0589279869067107,1.2831751227495911
2007-07-31,10133980,10.1,0.0,0.0,51088.99,0.0,462.91,0.0,31.7,14.48,772.71,23.09,0.23572045826513913,309.8926698036007,10.447266775777416,0.34041436852154944,78046.66212493183,287.3120495771959,0.006275945004001085,21.69309817250156,0.07679822695035463,-0.05253887070376438,1.695694899072559
